date,driver_number,meeting_key,position,session_key
2025-12-07 13:34:57.503000+00:00,63,1276,7,9839
2025-12-07 13:34:57.503000+00:00,18,1276,8,9839
2025-12-07 13:35:03.237000+00:00,63,1276,6,9839
2025-12-07 13:35:03.237000+00:00,30,1276,7,9839
2025-12-07 13:35:11.582000+00:00,30,1276,8,9839
2025-12-07 13:35:11.582000+00:00,18,1276,7,9839
2025-12-07 13:35:22.558000+00:00,30,1276,9,9839
2025-12-07 13:35:22.558000+00:00,12,1276,8,9839
2025-12-07 13:35:22.933000+00:00,30,1276,10,9839
2025-12-07 13:35:22.933000+00:00,44,1276,9,9839
2025-12-07 13:35:27.578000+00:00,30,1276,11,9839
2025-12-07 13:35:27.578000+00:00,27,1276,10,9839
2025-12-07 13:35:28.459000+00:00,14,1276,11,9839
2025-12-07 13:35:28.459000+00:00,30,1276,12,9839
2025-12-07 13:35:34.325000+00:00,5,1276,12,9839
2025-12-07 13:35:34.325000+00:00,30,1276,13,9839
2025-12-07 13:35:36.139000+00:00,30,1276,14,9839
2025-12-07 13:35:36.139000+00:00,23,1276,13,9839
2025-12-07 13:35:38.705000+00:00,6,1276,14,9839
2025-12-07 13:35:38.705000+00:00,30,1276,15,9839
2025-12-07 13:35:39.796000+00:00,87,1276,15,9839
2025-12-07 13:35:39.796000+00:00,30,1276,16,9839
2025-12-07 13:35:41.552000+00:00,31,1276,16,9839
2025-12-07 13:35:41.552000+00:00,30,1276,17,9839
2025-12-07 13:35:45.804000+00:00,55,1276,17,9839
2025-12-07 13:35:45.804000+00:00,30,1276,18,9839
2025-12-07 13:35:50.104000+00:00,30,1276,19,9839
2025-12-07 13:35:50.104000+00:00,10,1276,18,9839
2025-12-07 13:35:51.581000+00:00,30,1276,20,9839
2025-12-07 13:35:51.581000+00:00,43,1276,19,9839
2025-12-07 13:37:24.293000+00:00,4,1276,3,9839
2025-12-07 13:37:24.293000+00:00,22,1276,4,9839
2025-12-07 13:37:54.291000+00:00,14,1276,10,9839
2025-12-07 13:37:54.291000+00:00,27,1276,11,9839
2025-12-07 13:37:56.907000+00:00,1,1276,2,9839
2025-12-07 13:37:56.907000+00:00,81,1276,1,9839
2025-12-07 13:38:07.664000+00:00,31,1276,15,9839
2025-12-07 13:38:07.664000+00:00,87,1276,16,9839
2025-12-07 13:38:34.653000+00:00,5,1276,11,9839
2025-12-07 13:38:34.653000+00:00,27,1276,12,9839
2025-12-07 13:38:56.194000+00:00,16,1276,4,9839
2025-12-07 13:38:56.194000+00:00,22,1276,5,9839
2025-12-07 13:39:10.897000+00:00,31,1276,14,9839
2025-12-07 13:39:10.897000+00:00,6,1276,15,9839
2025-12-07 13:39:13.833000+00:00,12,1276,9,9839
2025-12-07 13:39:13.833000+00:00,44,1276,8,9839
2025-12-07 13:40:25.722000+00:00,6,1276,16,9839
2025-12-07 13:40:25.722000+00:00,87,1276,15,9839
2025-12-07 13:40:48.726000+00:00,31,1276,13,9839
2025-12-07 13:40:48.726000+00:00,23,1276,14,9839
2025-12-07 13:43:36.034000+00:00,14,1276,9,9839
2025-12-07 13:43:36.034000+00:00,12,1276,10,9839
2025-12-07 13:45:22.320000+00:00,87,1276,14,9839
2025-12-07 13:45:22.320000+00:00,23,1276,15,9839
2025-12-07 13:45:22.376000+00:00,87,1276,15,9839
2025-12-07 13:45:22.376000+00:00,23,1276,14,9839
2025-12-07 13:45:30.204000+00:00,87,1276,14,9839
2025-12-07 13:45:30.204000+00:00,23,1276,15,9839
2025-12-07 13:46:26.688000+00:00,31,1276,12,9839
2025-12-07 13:46:26.688000+00:00,27,1276,13,9839
2025-12-07 13:46:36.181000+00:00,31,1276,13,9839
2025-12-07 13:46:36.181000+00:00,27,1276,12,9839
2025-12-07 13:46:36.376000+00:00,31,1276,12,9839
2025-12-07 13:46:36.376000+00:00,27,1276,13,9839
2025-12-07 13:46:39.030000+00:00,31,1276,13,9839
2025-12-07 13:46:39.030000+00:00,27,1276,12,9839
2025-12-07 13:46:46.405000+00:00,63,1276,5,9839
2025-12-07 13:46:46.405000+00:00,22,1276,6,9839
2025-12-07 13:46:46.440000+00:00,63,1276,6,9839
2025-12-07 13:46:46.440000+00:00,22,1276,5,9839
2025-12-07 13:46:47.962000+00:00,31,1276,12,9839
2025-12-07 13:46:47.962000+00:00,27,1276,13,9839
2025-12-07 13:46:49.870000+00:00,63,1276,5,9839
2025-12-07 13:46:49.870000+00:00,22,1276,6,9839
2025-12-07 13:46:55.343000+00:00,31,1276,13,9839
2025-12-07 13:46:55.343000+00:00,27,1276,12,9839
2025-12-07 13:48:30.608000+00:00,5,1276,10,9839
2025-12-07 13:48:30.608000+00:00,12,1276,11,9839
2025-12-07 13:49:56.495000+00:00,31,1276,12,9839
2025-12-07 13:49:56.495000+00:00,27,1276,13,9839
2025-12-07 13:50:36.295000+00:00,14,1276,8,9839
2025-12-07 13:50:36.295000+00:00,44,1276,9,9839
2025-12-07 13:50:36.319000+00:00,5,1276,9,9839
2025-12-07 13:50:36.319000+00:00,44,1276,10,9839
2025-12-07 13:50:38.120000+00:00,12,1276,10,9839
2025-12-07 13:50:38.120000+00:00,44,1276,11,9839
2025-12-07 13:50:38.600000+00:00,31,1276,11,9839
2025-12-07 13:50:38.600000+00:00,44,1276,12,9839
2025-12-07 13:50:39.331000+00:00,44,1276,13,9839
2025-12-07 13:50:39.331000+00:00,27,1276,12,9839
2025-12-07 13:50:39.818000+00:00,87,1276,13,9839
