air_temperature,date,humidity,meeting_key,pressure,rainfall,session_key,track_temperature,wind_direction,wind_speed
26.0,2025-12-07 14:28:07.863000+00:00,66.0,1276,1017.3,0,9839,29.3,298,0.9
26.0,2025-12-07 14:29:07.893000+00:00,65.0,1276,1017.2,0,9839,29.0,93,1.4
26.0,2025-12-07 14:30:07.906000+00:00,66.0,1276,1017.3,0,9839,29.0,0,0.8
26.0,2025-12-07 14:31:07.910000+00:00,66.0,1276,1017.3,0,9839,28.9,104,0.8
26.0,2025-12-07 14:32:07.911000+00:00,66.0,1276,1017.3,0,9839,28.8,94,1.5
26.0,2025-12-07 14:33:07.911000+00:00,66.0,1276,1017.3,0,9839,29.0,107,0.7
26.0,2025-12-07 14:34:07.919000+00:00,66.0,1276,1017.3,0,9839,28.9,74,1.6
26.0,2025-12-07 14:35:07.945000+00:00,66.0,1276,1017.4,0,9839,28.7,88,1.7
26.0,2025-12-07 14:36:07.943000+00:00,66.0,1276,1017.3,0,9839,28.9,128,1.4
25.9,2025-12-07 14:37:07.949000+00:00,66.0,1276,1017.4,0,9839,28.9,101,0.6
25.9,2025-12-07 14:38:07.948000+00:00,66.0,1276,1017.4,0,9839,29.0,104,1.2
25.9,2025-12-07 14:39:07.948000+00:00,66.0,1276,1017.3,0,9839,28.9,84,1.5
