date,driver_number,gap_to_leader,interval,meeting_key,session_key
2025-12-07 14:26:22.681000+00:00,6,86.708,3.045,1276,9839
2025-12-07 14:26:23.189000+00:00,10,,1.91,1276,9839
2025-12-07 14:26:23.260000+00:00,55,77.879,0.986,1276,9839
2025-12-07 14:26:23.499000+00:00,12,81.201,0.976,1276,9839
2025-12-07 14:26:23.629000+00:00,43,,6.111,1276,9839
2025-12-07 14:26:23.736000+00:00,18,75.321,2.727,1276,9839
2025-12-07 14:26:24.020000+00:00,27,78.621,0.742,1276,9839
2025-12-07 14:26:24.046000+00:00,31,69.614,3.303,1276,9839
2025-12-07 14:26:24.309000+00:00,87,72.604,2.203,1276,9839
2025-12-07 14:26:24.411000+00:00,14,66.313,18.141,1276,9839
2025-12-07 14:26:24.744000+00:00,18,75.309,2.713,1276,9839
2025-12-07 14:26:24.893000+00:00,44,70.463,0.849,1276,9839
2025-12-07 14:26:24.960000+00:00,4,16.506,2.817,1276,9839
2025-12-07 14:26:25.210000+00:00,5,76.812,1.491,1276,9839
2025-12-07 14:26:25.432000+00:00,81,13.536,13.536,1276,9839
2025-12-07 14:26:25.696000+00:00,6,86.773,3.081,1276,9839
2025-12-07 14:26:25.837000+00:00,22,80.474,1.853,1276,9839
2025-12-07 14:26:26.080000+00:00,23,83.779,2.578,1276,9839
2025-12-07 14:26:26.252000+00:00,55,77.825,1.013,1276,9839
2025-12-07 14:26:26.267000+00:00,5,76.806,1.497,1276,9839
2025-12-07 14:26:26.267000+00:00,63,48.252,23.218,1276,9839
2025-12-07 14:26:26.595000+00:00,12,81.217,0.743,1276,9839
2025-12-07 14:26:26.963000+00:00,16,24.577,8.079,1276,9839
2025-12-07 14:26:26.980000+00:00,27,78.565,0.74,1276,9839
2025-12-07 14:26:27.018000+00:00,18,75.313,2.709,1276,9839
2025-12-07 14:26:27.097000+00:00,87,72.668,2.205,1276,9839
2025-12-07 14:26:27.161000+00:00,43,,6.125,1276,9839
2025-12-07 14:26:27.208000+00:00,55,77.819,,1276,9839
