date,meeting_key,overtaken_driver_number,overtaking_driver_number,position,session_key
2025-12-07 13:52:12.642000+00:00,1276,12,55,14,9839
2025-12-07 13:52:12.642000+00:00,1276,22,55,13,9839
2025-12-07 13:52:13.704000+00:00,1276,12,6,15,9839
2025-12-07 13:52:13.704000+00:00,1276,22,6,14,9839
2025-12-07 13:52:16.802000+00:00,1276,12,10,16,9839
2025-12-07 13:52:16.802000+00:00,1276,22,10,15,9839
2025-12-07 13:52:19.170000+00:00,1276,12,43,17,9839
2025-12-07 13:52:19.170000+00:00,1276,22,43,16,9839
2025-12-07 13:52:21.837000+00:00,1276,12,44,18,9839
2025-12-07 13:52:26.323000+00:00,1276,12,30,19,9839
2025-12-07 13:52:29.859000+00:00,1276,22,44,17,9839
2025-12-07 13:53:00.846000+00:00,1276,27,87,10,9839
2025-12-07 13:53:37.684000+00:00,1276,23,55,12,9839
2025-12-07 13:53:44.429000+00:00,1276,23,6,13,9839
2025-12-07 13:53:47.101000+00:00,1276,23,10,14,9839
2025-12-07 13:53:49.225000+00:00,1276,23,43,15,9839
2025-12-07 13:53:50.978000+00:00,1276,23,44,16,9839
2025-12-07 13:53:53.740000+00:00,1276,23,22,17,9839
2025-12-07 13:53:55.849000+00:00,1276,23,30,18,9839
2025-12-07 13:54:09.595000+00:00,1276,23,12,19,9839
2025-12-07 13:55:48.495000+00:00,1276,43,44,15,9839
2025-12-07 13:57:28.469000+00:00,1276,10,44,14,9839
2025-12-07 13:58:52.385000+00:00,1276,43,22,16,9839
2025-12-07 14:00:16.688000+00:00,1276,5,31,8,9839
2025-12-07 14:00:26.622000+00:00,1276,31,5,8,9839
2025-12-07 14:00:33.710000+00:00,1276,5,31,8,9839
2025-12-07 14:00:35.211000+00:00,1276,6,44,13,9839
2025-12-07 14:01:59.194000+00:00,1276,10,22,15,9839
2025-12-07 14:02:13.637000+00:00,1276,43,30,17,9839
2025-12-07 14:02:25.864000+00:00,1276,16,63,4,9839
2025-12-07 14:02:34.599000+00:00,1276,43,12,18,9839
2025-12-07 14:03:23.721000+00:00,1276,43,23,19,9839
2025-12-07 14:03:53.662000+00:00,1276,81,1,1,9839
2025-12-07 14:04:21.773000+00:00,1276,10,30,16,9839
2025-12-07 14:04:22.483000+00:00,1276,10,12,17,9839
2025-12-07 14:04:24.494000+00:00,1276,10,23,18,9839
2025-12-07 14:04:39.254000+00:00,1276,55,44,12,9839
2025-12-07 14:04:47.956000+00:00,1276,5,87,9,9839
2025-12-07 14:05:02.496000+00:00,1276,30,12,16,9839
2025-12-07 14:05:49.228000+00:00,1276,63,16,4,9839
2025-12-07 14:06:26.846000+00:00,1276,27,44,11,9839
2025-12-07 14:07:03.640000+00:00,1276,18,14,6,9839
2025-12-07 14:07:04.786000+00:00,1276,18,31,7,9839
2025-12-07 14:07:05.171000+00:00,1276,27,55,12,9839
2025-12-07 14:07:06.312000+00:00,1276,18,87,8,9839
2025-12-07 14:07:07.556000+00:00,1276,18,5,9,9839
2025-12-07 14:07:08.171000+00:00,1276,18,44,10,9839
2025-12-07 14:07:10.192000+00:00,1276,18,55,11,9839
2025-12-07 14:07:13.373000+00:00,1276,27,6,13,9839
2025-12-07 14:07:13.373000+00:00,1276,18,6,12,9839
2025-12-07 14:07:14.767000+00:00,1276,27,22,14,9839
2025-12-07 14:07:14.767000+00:00,1276,18,22,13,9839
2025-12-07 14:07:18.559000+00:00,1276,27,12,15,9839
2025-12-07 14:07:18.559000+00:00,1276,18,12,14,9839
2025-12-07 14:07:21.390000+00:00,1276,27,30,16,9839
2025-12-07 14:07:22.073000+00:00,1276,27,23,17,9839
2025-12-07 14:07:29.405000+00:00,1276,18,30,15,9839
2025-12-07 14:07:30.095000+00:00,1276,18,23,16,9839
2025-12-07 14:07:39.918000+00:00,1276,5,44,9,9839
2025-12-07 14:08:02.475000+00:00,1276,30,23,15,9839
2025-12-07 14:09:20.621000+00:00,1276,30,18,16,9839
2025-12-07 14:09:24.058000+00:00,1276,6,22,12,9839
2025-12-07 14:10:46.149000+00:00,1276,87,44,8,9839
2025-12-07 14:10:56.124000+00:00,1276,44,87,8,9839
2025-12-07 14:11:03.013000+00:00,1276,87,44,8,9839
2025-12-07 14:12:32.513000+00:00,1276,30,27,17,9839
2025-12-07 14:13:47.724000+00:00,1276,23,18,15,9839
2025-12-07 14:14:07.022000+00:00,1276,6,12,13,9839
2025-12-07 14:16:44.184000+00:00,1276,6,18,14,9839
2025-12-07 14:16:55.217000+00:00,1276,23,27,16,9839
2025-12-07 14:17:05.186000+00:00,1276,27,23,16,9839
2025-12-07 14:18:15.580000+00:00,1276,23,27,16,9839
2025-12-07 14:19:36.852000+00:00,1276,12,18,13,9839
2025-12-07 14:20:06.079000+00:00,1276,6,27,15,9839
2025-12-07 14:21:09.058000+00:00,1276,31,44,7,9839
2025-12-07 14:21:16.359000+00:00,1276,44,31,7,9839
2025-12-07 14:21:26.466000+00:00,1276,22,18,12,9839
2025-12-07 14:22:52.488000+00:00,1276,6,23,16,9839
2025-12-07 14:23:05.910000+00:00,1276,23,6,16,9839
2025-12-07 14:23:09.345000+00:00,1276,6,23,16,9839
2025-12-07 14:24:15.111000+00:00,1276,55,18,11,9839
2025-12-07 14:24:24.287000+00:00,1276,12,27,14,9839
2025-12-07 14:25:31.360000+00:00,1276,5,18,10,9839
2025-12-07 14:25:33.523000+00:00,1276,22,27,13,9839
2025-12-07 14:28:42.912000+00:00,1276,55,27,12,9839
2025-12-07 14:30:02.792000+00:00,1276,5,27,11,9839
2025-12-07 14:30:22.833000+00:00,1276,87,18,9,9839
