Date,Status,X,Y,Z,Source,Time,SessionTime,Driver
2025-12-07 12:34:09.470,OnTrack,563.0,2080.0,-239.0,pos,0 days 00:29:02.407000,0 days 00:29:02.407000,1
2025-12-07 12:34:22.070,OnTrack,563.0,2080.0,-239.0,pos,0 days 00:29:15.007000,0 days 00:29:15.007000,1
2025-12-07 12:34:36.370,OnTrack,562.0,2080.0,-239.0,pos,0 days 00:29:29.307000,0 days 00:29:29.307000,1
2025-12-07 12:34:48.390,OnTrack,561.0,2080.0,-239.0,pos,0 days 00:29:41.327000,0 days 00:29:41.327000,1
2025-12-07 12:35:01.570,OnTrack,561.0,2079.0,-239.0,pos,0 days 00:29:54.507000,0 days 00:29:54.507000,1
2025-12-07 12:35:14.770,OnTrack,560.0,2079.0,-239.0,pos,0 days 00:30:07.707000,0 days 00:30:07.707000,1
2025-12-07 12:35:28.250,OnTrack,560.0,2079.0,-239.0,pos,0 days 00:30:21.187000,0 days 00:30:21.187000,1
2025-12-07 12:35:42.350,OnTrack,560.0,2079.0,-239.0,pos,0 days 00:30:35.287000,0 days 00:30:35.287000,1
2025-12-07 12:35:55.370,OnTrack,559.0,2079.0,-239.0,pos,0 days 00:30:48.307000,0 days 00:30:48.307000,1
2025-12-07 12:36:08.110,OnTrack,559.0,2079.0,-239.0,pos,0 days 00:31:01.047000,0 days 00:31:01.047000,1
2025-12-07 12:36:21.110,OnTrack,559.0,2079.0,-239.0,pos,0 days 00:31:14.047000,0 days 00:31:14.047000,1
2025-12-07 12:36:34.330,OnTrack,558.0,2079.0,-239.0,pos,0 days 00:31:27.267000,0 days 00:31:27.267000,1
2025-12-07 12:36:46.430,OnTrack,558.0,2079.0,-239.0,pos,0 days 00:31:39.367000,0 days 00:31:39.367000,1
2025-12-07 12:37:00.150,OnTrack,558.0,2079.0,-239.0,pos,0 days 00:31:53.087000,0 days 00:31:53.087000,1
2025-12-07 12:37:13.930,OnTrack,558.0,2079.0,-239.0,pos,0 days 00:32:06.867000,0 days 00:32:06.867000,1
2025-12-07 12:37:26.670,OnTrack,558.0,2079.0,-239.0,pos,0 days 00:32:19.607000,0 days 00:32:19.607000,1
2025-12-07 12:37:39.010,OnTrack,558.0,2079.0,-239.0,pos,0 days 00:32:31.947000,0 days 00:32:31.947000,1
2025-12-07 12:37:53.070,OnTrack,557.0,2079.0,-239.0,pos,0 days 00:32:46.007000,0 days 00:32:46.007000,1
2025-12-07 12:38:06.410,OnTrack,557.0,2079.0,-239.0,pos,0 days 00:32:59.347000,0 days 00:32:59.347000,1
2025-12-07 12:38:18.290,OnTrack,557.0,2079.0,-239.0,pos,0 days 00:33:11.227000,0 days 00:33:11.227000,1
2025-12-07 12:38:31.270,OnTrack,557.0,2079.0,-239.0,pos,0 days 00:33:24.207000,0 days 00:33:24.207000,1
2025-12-07 12:38:44.190,OnTrack,557.0,2079.0,-239.0,pos,0 days 00:33:37.127000,0 days 00:33:37.127000,1
2025-12-07 12:38:58.050,OnTrack,557.0,2079.0,-239.0,pos,0 days 00:33:50.987000,0 days 00:33:50.987000,1
2025-12-07 12:39:12.350,OnTrack,557.0,2079.0,-239.0,pos,0 days 00:34:05.287000,0 days 00:34:05.287000,1
2025-12-07 12:39:25.450,OnTrack,557.0,2079.0,-239.0,pos,0 days 00:34:18.387000,0 days 00:34:18.387000,1
2025-12-07 12:39:38.510,OnTrack,557.0,2079.0,-239.0,pos,0 days 00:34:31.447000,0 days 00:34:31.447000,1
2025-12-07 12:39:50.290,OnTrack,557.0,2079.0,-239.0,pos,0 days 00:34:43.227000,0 days 00:34:43.227000,1
2025-12-07 12:40:02.610,OnTrack,557.0,2079.0,-239.0,pos,0 days 00:34:55.547000,0 days 00:34:55.547000,1
2025-12-07 12:40:17.250,OnTrack,557.0,2079.0,-239.0,pos,0 days 00:35:10.187000,0 days 00:35:10.187000,1
2025-12-07 12:40:29.750,OnTrack,557.0,2079.0,-239.0,pos,0 days 00:35:22.687000,0 days 00:35:22.687000,1
2025-12-07 12:40:42.850,OnTrack,557.0,2079.0,-239.0,pos,0 days 00:35:35.787000,0 days 00:35:35.787000,1
2025-12-07 12:40:57.909,OnTrack,557.0,2079.0,-239.0,pos,0 days 00:35:50.846000,0 days 00:35:50.846000,1
2025-12-07 12:41:10.010,OnTrack,557.0,2079.0,-239.0,pos,0 days 00:36:02.947000,0 days 00:36:02.947000,1
2025-12-07 12:41:24.069,OnTrack,557.0,2079.0,-239.0,pos,0 days 00:36:17.006000,0 days 00:36:17.006000,1
2025-12-07 12:41:36.430,OnTrack,557.0,2079.0,-239.0,pos,0 days 00:36:29.367000,0 days 00:36:29.367000,1
2025-12-07 12:41:50.390,OnTrack,557.0,2079.0,-239.0,pos,0 days 00:36:43.327000,0 days 00:36:43.327000,1
2025-12-07 12:42:03.310,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:36:56.247000,0 days 00:36:56.247000,1
2025-12-07 12:42:15.550,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:37:08.487000,0 days 00:37:08.487000,1
2025-12-07 12:42:30.310,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:37:23.247000,0 days 00:37:23.247000,1
2025-12-07 12:42:43.831,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:37:36.768000,0 days 00:37:36.768000,1
2025-12-07 12:42:57.091,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:37:50.028000,0 days 00:37:50.028000,1
2025-12-07 12:43:09.510,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:38:02.447000,0 days 00:38:02.447000,1
2025-12-07 12:43:23.251,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:38:16.188000,0 days 00:38:16.188000,1
2025-12-07 12:43:36.311,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:38:29.248000,0 days 00:38:29.248000,1
2025-12-07 12:43:48.850,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:38:41.787000,0 days 00:38:41.787000,1
2025-12-07 12:44:01.810,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:38:54.747000,0 days 00:38:54.747000,1
2025-12-07 12:44:15.090,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:39:08.027000,0 days 00:39:08.027000,1
